# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	1	1471	+							EYE35_RS00005	1471		old_locus_tag=EYE35_00005
rRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	1	1471	+				16S ribosomal RNA			EYE35_RS00005	1471		
gene	tRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	1688	1764	+							EYE35_RS00010	77		old_locus_tag=EYE35_00010
tRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	1688	1764	+				tRNA-Ile			EYE35_RS00010	77		anticodon=GAT
gene	tRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	1868	1943	+							EYE35_RS00015	76		old_locus_tag=EYE35_00015
tRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	1868	1943	+				tRNA-Ala			EYE35_RS00015	76		anticodon=TGC
gene	rRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2182	5020	+							EYE35_RS00020	2839		old_locus_tag=EYE35_00020
rRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	2182	5020	+				23S ribosomal RNA			EYE35_RS00020	2839		
gene	rRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5116	5230	+					rrf		EYE35_RS00025	115		old_locus_tag=EYE35_00025
rRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5116	5230	+				5S ribosomal RNA	rrf		EYE35_RS00025	115		
gene	tRNA	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5276	5352	+							EYE35_RS00030	77		old_locus_tag=EYE35_00030
tRNA		GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5276	5352	+				tRNA-Met			EYE35_RS00030	77		anticodon=CAT
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5456	5680	-							EYE35_RS00035	225		old_locus_tag=EYE35_00035
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5456	5680	-	WP_137456925.1	WP_137456925.1		hypothetical protein			EYE35_RS00035	225	74	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5793	6911	-							EYE35_RS00040	1119		old_locus_tag=EYE35_00040
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	5793	6911	-	WP_137456926.1	WP_137456926.1		alpha/beta hydrolase			EYE35_RS00040	1119	372	
gene	pseudogene	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	7164	7805	+							EYE35_RS00045	642		partial;pseudo;old_locus_tag=EYE35_00045
CDS	without_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	7164	7805	+				AraC family transcriptional regulator			EYE35_RS00045	642		partial;pseudo
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	7848	8189	+							EYE35_RS00050	342		old_locus_tag=EYE35_00050
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	7848	8189	+	WP_137458583.1	WP_137458583.1		helix-turn-helix transcriptional regulator			EYE35_RS00050	342	113	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	8466	9359	+							EYE35_RS00055	894		old_locus_tag=EYE35_00055
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	8466	9359	+	WP_137456927.1	WP_137456927.1		formylglycine-generating enzyme family protein			EYE35_RS00055	894	297	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	9367	10863	+							EYE35_RS00060	1497		old_locus_tag=EYE35_00060
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	9367	10863	+	WP_137456928.1	WP_137456928.1		arylsulfatase			EYE35_RS00060	1497	498	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	10944	11630	+							EYE35_RS00065	687		old_locus_tag=EYE35_00065
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	10944	11630	+	WP_137458584.1	WP_137458584.1		hypothetical protein			EYE35_RS00065	687	228	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	11704	12471	-							EYE35_RS00070	768		old_locus_tag=EYE35_00070
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	11704	12471	-	WP_137456929.1	WP_137456929.1		ATP-binding cassette domain-containing protein			EYE35_RS00070	768	255	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	12468	14444	-					fhuB		EYE35_RS00075	1977		old_locus_tag=EYE35_00075
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	12468	14444	-	WP_137456930.1	WP_137456930.1		Fe(3+)-hydroxamate ABC transporter permease FhuB	fhuB		EYE35_RS00075	1977	658	
gene	protein_coding	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	14441	15340	-							EYE35_RS00080	900		old_locus_tag=EYE35_00080
CDS	with_protein	GCF_005311585.1	Primary Assembly	chromosome	1	NZ_CP036419.1	14441	15340	-	WP_137456931.1	WP_137456931.1		iron-siderophore ABC transporter substrate-binding protein			EYE35_RS00080	900	299	
